,,,Silver,,Gold,,Platinum,,Diamond,
Instrument,Leverage Buy/Sell, Contract Size ,Long Swaps Base Currency,Short Swaps Base Currency,Long Swaps Base Currency,Short Swaps Base Currency,Long Swaps Base Currency,Short Swaps Base Currency,Long Swaps Base Currency,Short Swaps Base Currency
EURUSD,400,100000,-5.8,-3.7,-5.2,-3.1,-4.6,-2.5,-4.1,-2
EURJPY,400,100000,-4.4,-5.2,-3.8,-4.6,-3.2,-4,-2.7,-3.4
EURCHF,400,100000,-5.8,-12.1,-5.2,-11.5,-4.6,-10.9,-4,-10.3
USDJPY,400,100000,-3.8,-6.7,-2.7,-5.6,-2.3,-5.2,-1.9,-4.8
USDCAD,400,100000,-4.8,-4.8,-4.2,-4.2,-3.6,-3.6,-3.2,-3.2
USDCHF,400,100000,-4.8,-13.1,-4.2,-12.5,-3.6,-11.9,-3.2,-11.5
GBPUSD,400,100000,-5.4,-3.6,-4.8,-3,-4.2,-2.4,-3.8,-2
GBPJPY,400,100000,-4.3,-6,-3.3,-5.8,-2.7,-5.6,-2.3,-5.2
GBPCHF,400,100000,-5.4,-12.5,-4.8,-11.9,-4.2,-11.3,-3.8,-10.9
AUDCAD,400,100000,-5.8,-8.7,-4.8,-7.7,-4.2,-7.1,-3.8,-6.7
AUDCHF,400,100000,-5.4,-12.5,-4.8,-11.9,-4.2,-11.3,-3.8,-10.9
AUDJPY,400,100000,-4.3,-6,-3.3,-5,-2.7,-4.4,-2.3,-4
AUDNZD,400,100000,-5.8,-4.5,-5.5,-4.2,-4.8,-3.5,-4.7,-3.3
AUDUSD,400,100000,-5.4,-8.3,-4.8,-7.7,-4.2,-7.1,-3.8,-6.7
CADCHF,400,100000,-4.8,-13.1,-4.2,-12.5,-3.6,-11.9,-3.2,-11.5
CADJPY,400,100000,-3.8,-6.7,-2.7,-5.6,-2.1,-5,-1.7,-4.6
CHFJPY,400,100000,-11.6,-6.2,-11,-5.6,-10.4,-5,-10,-4.6
EURAUD,400,100000,-5.6,-4.8,-4.6,-3.8,-4,-3.2,-3.6,-2.8
EURCAD,400,100000,-5.8,-3.7,-5.2,-3.1,-4.6,-2.5,-4.2,-2.1
EURDKK,100,100000,-5.6,-3.9,-5,-3.3,-4.4,-2.7,-4,-2.3
EURGBP,400,100000,-5.6,-4.8,-4.6,-3.8,-4,-3.2,-3.6,-2.8
EURHUF,400,100000,-7.3,-2.3,-6.7,-2,-6.1,-1.7,-5.7,-1.5
EURNOK,100,100000,-4.8,-4.8,-4.2,-4.2,-3.9,-3.9,-3.7,-3.7
EURNZD,400,100000,-6.3,-7.4,-5.9,-7,-5.2,-6.3,-5,-6
EURPLN,100,100000,-6.4,-6.4,-6.1,-6.1,-5.8,-5.8,-5.8,-5.8
EURSEK,100,100000,-5,-5,-4.7,-4.7,-4.2,-4.2,-4,-4
EURTRY,50,100000,-45,-45,-45,-45,-45,-45,-45,-45
GBPAUD,400,100000,-5.3,-5.3,-4.2,-4.2,-3.6,-3.6,-3.2,-3.2
GBPCAD,400,100000,-5.4,-1.1,-5.1,-0.9,-4.8,-0.7,-4.6,-0.5
GBPNZD,400,100000,-5.8,-4.5,-5.2,-4.1,-4.8,-3.5,-4.6,-3.4
NZDCAD,400,100000,-5,-5,-4.7,-4.7,-4.2,-4.2,-4,-4
NZDCHF,400,100000,-4.8,-13.1,-4.2,-12.5,-3.6,-11.9,-3.2,-11.5
NZDJPY,400,100000,-3.8,-6.7,-3.5,-6.4,-3.2,-6.1,-3,-6
NZDUSD,400,100000,-5.3,-5.3,-4.9,-4.9,-4.2,-4.2,-4,-4
USDDKK,100,100000,-1.4,-8.5,-1.1,-8.2,-0.7,-7.9,-0.5,-7.6
USDHUF,100,100000,-6.2,-3.3,-5.6,-2.7,-5.3,-2.4,-5,-2.1
USDMXN,50,100000,-23.1,-23.1,-22.5,-22.5,-22.1,-22.1,-21.5,-21.5
USDNOK,100,100000,-3.7,-5.8,-3.1,-5.2,-2.8,-4.9,-2.6,-4.7
USDPLN,100,100000,-5.4,-4.1,-4.8,-3.5,-4.5,-3.2,-4.3,-3
USDSEK,100,100000,-3.7,-5.8,-3.1,-5.2,-2.8,-4.9,-2.6,-4.7
USDSGD,100,100000,-6.1,-3.4,-5.5,-2.8,-5.3,-2.6,-5.2,-2.4
GBPTRY,50,100000,-45,-45,-45,-45,-45,-45,-45,-45
USDTRY,50,100000,-45,-45,-45,-45,-45,-45,-45,-45
