,,,Silver,,Gold,,Platinum,,Diamond,
Instrument,Leverage Buy/Sell, Contract Size ,Long Swaps Base Currency,Short Swaps Base Currency,Long Swaps Base Currency,Short Swaps Base Currency,Long Swaps Base Currency,Short Swaps Base Currency,Long Swaps Base Currency,Short Swaps Base Currency
COCOA,100,100,-26,-26,-25.7,-25.7,-24.6,-24.6,-23.9,-23.9
COFFE,100,100,-48,-48,-47.5,-47.5,-46.4,-46.4,-45.8,-45.8
COPP,100,10000,-7.5,-7.5,-7.1,-7.1,-6.8,-6.8,-6.2,-6.2
CORN,100,100,-5.6,-5.6,-5.2,-5.2,-4.9,-4.9,-4.2,-4.2
COTT2,100,100,-2.4,-2.4,-2.2,-2.2,-1.9,-1.9,-1.5,-1.5
SBEAN,100,100,-12.9,-12.9,-12.5,-12.5,-12.3,-12.3,-11.8,-11.8
PLAT,100,100,-21,-21,-20.3,-20.3,-19.9,-19.9,-19.5,-19.5
RBOB,100,42000,-16.1,-16.1,-15.8,-15.8,-15.4,-15.4,-14.9,-14.9
PALLAD,100,100,-30.9,-30.9,-30.6,-30.6,-30.2,-30.2,-29.7,-29.7
SUG11,100,1000,-4.1,-4.1,-3.8,-3.8,-3.6,-3.6,-3.1,-3.1
WHEAT,100,100,-7.1,-7.1,-6.8,-6.8,-6.6,-6.6,-6.2,-6.2
NGAS,100,10000,-86,-86,-85.1,-85.1,-84,-84,-82.5,-82.5
XAUUSD,100,100,-10.7,-10.7,-10.3,-10.3,-10,-10,-9.5,-9.5
XAGUSD,100,5000,-7.5,-7.5,-7.2,-7.2,-6.8,-6.8,-6.3,-6.3
ALUMINUM,100,100,-27,-27,-25,-25,-23,-23,-21,-21
ZINC,100,10,-78,-78,-76,-76,-74,-74,-72,-72
USOIL,100,1000,-20,-20,-18,-18,-16,-16,-14,-14
BRENTOIL,100,1000,-25,-25,-23,-23,-21,-21,-19,-19
