,,,Silver,,Gold,,Platinum,,Diamond,
Instrument, Leverage Buy/Sell , Contract Size ,Long Swaps Base Currency,Short Swaps Base Currency,Long Swaps Base Currency,Short Swaps Base Currency,Long Swaps Base Currency,Short Swaps Base Currency,Long Swaps Base Currency,Short Swaps Base Currency
CAC40,100,10,-18,-18,-17.6,-17.6,-17.2,-17.2,-16.5,-16.5
DAX40,100,10,-20.2,-20.2,-19.7,-19.7,-19.2,-19.2,-18.7,-18.7
DOW30,100,10,-42,-42,-41.2,-41.2,-39.7,-39.7,-39.4,-39.4
NIKKEI,100,10,-1000,-1000,-995,-995,-990,-990,-980,-980
SMI,100,10,-38.7,-38.7,-38,-38,-37.6,-37.6,-37.2,-37.2
SPX500,100,100,-47,-47,-46.2,-46.2,-45.8,-45.8,-45.4,-45.4
STOXX50,100,10,-11.5,-11.5,-10.9,-10.9,-10.5,-10.5,-10.1,-10.1
FTSE100,100,10,-20,-20,-19,-19,-18.6,-18.6,-18.2,-18.2
MIB40,100,10,-41.5,-41.5,-41.2,-41.2,-41,-41,-40.5,-40.5
