Instument,Leverage,Commission Per Lot,Long Swaps,Short Swaps, Contract Size
3M,5,0,0,0,  100 
ACTBLIZARD,5,0,0,0,  100 
ANGLO,5,0,0,0,  100 
B.PETROL,5,0,0,0,  100 
BARCLAYS,5,0,0,0,  100 
BATS,5,0,0,0,  100 
DOMINOS,5,0,0,0,  100 
MARKS,5,0,0,0,  100 
VODAFONE,5,0,0,0,  100 
BTGROUP,5,0,0,0,  100 
INVESTEC,5,0,0,0,  100 
HSBC,5,0,0,0,  100 
Lloyds,5,0,0,0,  100 
NatWest,5,0,0,0,  100 
AS-ROMA,5,0,0,0,  100 
ADS,5,0,0,0,  100 
ALLI,5,0,0,0,  100 
BASF,5,0,0,0,  100 
ANZ-ASX,5,0,0,0,  100 
BAYER,5,0,0,0,  100 
BMW,5,0,0,0,  100 
Beiersdorf,5,0,0,0,  100 
CONTINENTAL,5,0,0,0,  100 
CTX-ASX (ALD-ASX),5,0,0,0,  100 
DBFRA,5,0,0,0,  100 
MERCEDES,5,0,0,0,  100 
DPW,5,0,0,0,  100 
EOAN,5,0,0,0,  100 
DTELE,5,0,0,0,  100 
FRESENIUS,5,0,0,0,  100 
HEN,5,0,0,0,  100 
HM,5,0,0,0,  100 
HONDA,5,0,0,0,  100 
LAZIO,5,0,0,0,  100 
LUKOIL,5,0,0,0,  100 
MITSUBISHI,5,0,0,0,  100 
METRO,5,0,0,0,  100 
MTNGroup,5,0,0,0,  100 
NISSAN,5,0,0,0,  100 
REPSOL,5,0,0,0,  100 
SAP,5,0,0,0,  100 
ORG-ASX,5,0,0,0,  100 
Rosneft,5,0,0,0,  100 
RIO-ASX,5,0,0,0,  100 
SAND,5,0,0,0,  100 
SIE,5,0,0,0,  100 
Sberbank,5,0,0,0,  100 
TELFON,5,0,0,0,  100 
TELIA,5,0,0,0,  100 
TOSHIBA,5,0,0,0,  100 
TOTAL,5,0,0,0,  100 
VINCI,5,0,0,0,  100 
VOLV,5,0,0,0,  100 
VOWGEN,5,0,0,0,  100 
Alibaba-HK,5,0,0,0,  100 
FDJ,5,0,0,0,  100 
WOW-ASX,5,0,0,0,  100 
XIAOMI,5,0,0,0,  100 
GAZPROM,5,0,0,0,  100 
Lufthansa,5,0,0,0,  100 
SiemensH,5,0,0,0,  100 
HERO,5,0,0,0,  100 
LPKFLASER,5,0,0,0,  100 
Aramco,5,0,0,0,  100 
BERKSHIRE,5,0,0,0,  100 
AMAZON,5,0,0,0,  100 
HASBRO,5,0,0,0,  100 
AIG,5,0,0,0,  100 
