,Silver,Gold ,Platinum ,Diamond ,Islamic,IslamicPro
,,,,,,
Instrument,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:
USTECH,2.2,1.9,1.6,1.3,2.2,1.6
USBANKS,2.2,1.9,1.6,1.3,2.2,1.6
GERGIANTS,2.2,1.9,1.6,1.3,2.2,1.6
USHEAVY,2.5,2.2,1.9,1.6,2.5,1.9
USRETAIL,2.2,1.9,1.6,1.3,2.2,1.6
UKBANKS,2.6,2.3,2,1.7,2.6,2
BIGPHARMA,2.2,1.9,1.6,1.3,2.2,1.6
BIGPHARMA2,2.2,1.9,1.6,1.3,2.2,1.6
BLUECHIPS,2.2,1.9,1.6,1.3,2.2,1.6
FASHION,5,4.7,4.4,4.1,5,4.4
W.BUFFETT1,2.6,2.3,2,1.7,2.6,2
W.BUFFETT2,2.2,1.9,1.6,1.3,2.2,1.6
CRYPTOETF,9,8.7,8.4,8.1,9,8.4
METAVERSE,2.2,1.9,1.6,1.3,2.2,1.6
