,Silver,Gold ,Platinum ,Diamond ,Islamic,IslamicPro
,,,,,,
Instrument,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:
BTCUSD,710,700,695,690,710,695
ETHUSD,71.5,66.5,61.5,56.5,71.5,61.5
LTCUSD,45,40,35,30,45,35
ETCUSD,6620,6615,6610,6605,6620,6610
DSHUSD,47.5,42.5,37.5,32.5,47.5,37.5
XRPUSD,300,295,290,285,300,290
SHBUSD.mln,3,2.5,2,1.5,3,2
ADAUSD,31,26,21,16,31,21
SOLUSD,30.2,25.2,20.2,15.2,30.2,20.2
XLMUSD,50,45,40,35,50,40
DOTUSD,52.5,47.5,42.5,37.5,52.5,42.5
DOGUST,30,25,20,15,30,20
