,Silver,Gold ,Platinum ,Diamond ,Islamic,IslamicPro
,,,,,,
Instrument,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:
EURUSD,2,1.4,0.9,0.5,2,0.9
EURJPY,2.3,1.7,1.2,0.7,2.3,1.2
EURCHF,2.8,2.1,1.7,1.1,2.8,1.7
USDJPY,2.3,2,1.4,1,2.3,1.4
USDCAD,2.3,1.7,1.2,0.9,2.3,1.2
USDCHF,2,1.7,1.2,0.9,2,1.2
GBPUSD,2.3,1.7,1.2,0.7,2.3,1.2
GBPJPY,3.6,2.7,2.1,1.7,3.6,2.1
GBPCHF,3.4,2.7,2.4,2,3.4,2.4
AUDCAD,3.4,3.1,2.8,2.5,3.4,2.8
AUDCHF,2.5,2.2,1.7,1.4,2.5,1.7
AUDJPY,2.5,2.2,1.7,1.4,2.5,1.7
AUDNZD,2.8,2.5,2,1.7,2.8,2
AUDUSD,2.3,2,1.5,1.2,2.3,1.5
CADCHF,2.5,2.2,1.7,1.4,2.5,1.7
CADJPY,2.6,2.4,2,1.7,2.6,2
CHFJPY,3.3,3,2.5,2.2,3.3,2.5
EURAUD,2.8,2.6,2.2,1.9,2.8,2.2
EURCAD,10,9.7,9.2,8.9,10,9.2
EURDKK,12.5,11,10,9,12.5,10
EURGBP,1.8,1.5,1.1,0.7,1.8,1.1
EURHUF,60,57.5,54,50,60,54
EURNOK,107,104.5,101,97,107,101
EURNZD,3.7,3.4,3.1,2.8,3.7,3.1
EURPLN,69,66.5,63,59,69,63
EURSEK,67,64.5,61,57,67,61
EURTRY,148,143,138,133,148,138
GBPAUD,4.3,4,3.7,3.4,4.3,3.7
GBPCAD,5.4,4.9,4.2,3.7,5.4,4.2
GBPNZD,6,5.5,5,4.5,6,5
NZDCAD,4.2,3.9,3.4,3.1,4.2,3.4
NZDCHF,3,2.7,2.2,1.9,3,2.2
NZDJPY,3.8,3.4,3,2.6,3.8,3
NZDUSD,2.3,2.1,1.9,1.7,2.3,1.9
USDDKK,24.5,22,18.5,14.5,24.5,18.5
USDHUF,46,43.5,40,36,46,40
USDMXN,94,91.5,88,84,94,88
USDNOK,72,69.5,66,62,72,66
USDPLN,63,60.5,57,53,63,57
USDSEK,78,75.5,72,68,78,72
USDSGD,21.1,18.6,15.1,11.1,21.1,15.1
USDTRY,172,167,162,157,172,162
GBPTRY,180,175,170,165,180,170
