,Silver,Gold ,Platinum ,Diamond ,Islamic
,,,,,
Instrument,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:
3M,10.1,10.1,10.1,10.1,10.1
ACTBLIZARD,4.6,4.6,4.6,4.6,4.6
ANGLO,104.5,104.5,104.5,104.5,104.5
B.PETROL,5.5,5.5,5.5,5.5,5.5
BARCLAYS,10.9,10.9,10.9,10.9,10.9
BATS,14.5,14.5,14.5,14.5,14.5
DOMINOS,8.5,8.5,8.5,8.5,8.5
MARKS,5.4,5.4,5.4,5.4,5.4
VODAFONE,4.8,4.8,4.8,4.8,4.8
BTGROUP,5.4,5.4,5.4,5.4,5.4
INVESTEC,8.6,8.6,8.6,8.6,8.6
HSBC,5.6,5.6,5.6,5.6,5.6
Lloyds,4.7,4.7,4.7,4.7,4.7
NatWest,5.5,5.5,5.5,5.5,5.5
ADS,10,10,10,10,10
ALLI,7,7,7,7,7
BASF,4.7,4.7,4.7,4.7,4.7
ANZ-ASX,6.7,6.7,6.7,6.7,6.7
BAYER,4,4,4,4,4
BMW,6,6,6,6,6
Beiersdorf,5.5,5.5,5.5,5.5,5.5
CONTINENTAL,5.1,5.1,5.1,5.1,5.1
CTX-ASX (ALD-ASX),4.6,4.6,4.6,4.6,4.6
DBFRA,12.9,12.9,12.9,12.9,12.9
MERCEDES,6,6,6,6,6
DPW,7.5,7.5,7.5,7.5,7.5
EOAN,13.5,13.5,13.5,13.5,13.5
DTELE,10.3,10.3,10.3,10.3,10.3
FRESENIUS,4.6,4.6,4.6,4.6,4.6
HEN,7.8,7.8,7.8,7.8,7.8
HM,5,5,5,5,5
HONDA,14.5,14.5,14.5,14.5,14.5
LUKOIL,14.5,14.5,14.5,14.5,14.5
MITSUBISHI,14.5,14.5,14.5,14.5,14.5
METRO,5.5,5.5,5.5,5.5,5.5
MTNGroup,44,44,44,44,44
NISSAN,5.5,5.5,5.5,5.5,5.5
REPSOL,5.3,5.3,5.3,5.3,5.3
SAP,8.4,8.4,8.4,8.4,8.4
ORG-ASX,4.5,4.5,4.5,4.5,4.5
Rosneft,7,7,7,7,7
RIO-ASX,4.8,4.8,4.8,4.8,4.8
SAND,13.9,13.9,13.9,13.9,13.9
SIE,6.4,6.4,6.4,6.4,6.4
Sberbank,5.5,5.5,5.5,5.5,5.5
TELFON,7.6,7.6,7.6,7.6,7.6
TELIA,6.5,6.5,6.5,6.5,6.5
TOSHIBA,54.5,54.5,54.5,54.5,54.5
TOTAL,5,5,5,5,5
VINCI,6.4,6.4,6.4,6.4,6.4
VOLV,13.3,13.3,13.3,13.3,13.3
VOWGEN,16,16,16,16,16
Alibaba-HK,5.6,5.6,5.6,5.6,5.6
FDJ,6.5,6.5,6.5,6.5,6.5
WOW-ASX,4.7,4.7,4.7,4.7,4.7
XIAOMI,9.5,9.5,9.5,9.5,9.5
GAZPROM,8.9,8.9,8.9,8.9,8.9
Lufthansa,5.7,5.7,5.7,5.7,5.7
SiemensH,5.1,5.1,5.1,5.1,5.1
HERO,9.5,9.5,9.5,9.5,9.5
LPKFLASER,7.5,7.5,7.5,7.5,7.5
Aramco,5.1,5.1,5.1,5.1,5.1
BERKSHIRE,13.3,13.3,13.3,13.3,13.3
AMAZON,4.8,4.8,4.8,4.8,4.8
HASBRO,7.7,7.7,7.7,7.7,7.7
AIG,6.5,6.5,6.5,6.5,6.5
ALCOA,6.5,6.5,6.5,6.5,6.5
APPLE,13.6,13.6,13.6,13.6,13.6
AMEX,7.5,7.5,7.5,7.5,7.5
ARCELOR,5.6,5.6,5.6,5.6,5.6
BAIDU,10.4,10.4,10.4,10.4,10.4
ArmourInc,4.6,4.6,4.6,4.6,4.6
AURORA,4.6,4.6,4.6,4.6,4.6
ATT,5.5,5.5,5.5,5.5,5.5
BOEING,10.6,10.6,10.6,10.6,10.6
Alibaba,4.7,4.7,4.7,4.7,4.7
B.A.Tobaco,4.7,4.7,4.7,4.7,4.7
BOA,5.3,5.3,5.3,5.3,5.3
CAT,9.2,9.2,9.2,9.2,9.2
CHEVRON,7.2,7.2,7.2,7.2,7.2
CITI,6.4,6.4,6.4,6.4,6.4
CISCO,5.4,5.4,5.4,5.4,5.4
DISNEY,5.2,5.2,5.2,5.2,5.2
COMCAST,4.6,4.6,4.6,4.6,4.6
COKE,6,6,6,6,6
CRONOS,4.6,4.6,4.6,4.6,4.6
Dropbox,4.5,4.5,4.5,4.5,4.5
EBAY,6,6,6,6,6
ESTEE,6.4,6.4,6.4,6.4,6.4
EXXM,6.6,6.6,6.6,6.6,6.6
ElectArts,4.6,4.6,4.6,4.6,4.6
META,15,15,15,15,15
FEDEX,5.9,5.9,5.9,5.9,5.9
FERRARI,11.6,11.6,11.6,11.6,11.6
FOX,4.5,4.5,4.5,4.5,4.5
Ford,4.6,4.6,4.6,4.6,4.6
GAP,4.5,4.5,4.5,4.5,4.5
GE,6,6,6,6,6
GM,5.8,5.8,5.8,5.8,5.8
GOLDSACHS,11.5,11.5,11.5,11.5,11.5
GOOGLE,7.8,7.8,7.8,7.8,7.8
GOPRO,5.9,5.9,5.9,5.9,5.9
HPACK,5.5,5.5,5.5,5.5,5.5
HARLEY,7,7,7,7,7
INTEL,5.8,5.8,5.8,5.8,5.8
IBM,8.7,8.7,8.7,8.7,8.7
